COE_names,P4-EUI Num,P4-Breach%,P4-Deviation
Bidding & Risk,38,7.894736842,0.105263158
BIM for Construction,16,25,0.526315789
Common Services,69,40.57971014,0.649122807
Construction Records,148,12.83783784,0.315789474
Field Collaboration,56,23.21428571,0.50877193
Field Workflows,29,37.93103448,0.50877193
Frameworks,8,50,2.473684211
Nexus,21,52.38095238,1.140350877
Project Controls,29,13.79310345,0.438596491
Pype,4,0,0.245614035
Service Infrastructure,1,100,3.912280702
Work Breakdown & Planning,58,36.20689655,0.877192982
