group_names,P1-EUI Num,P1-Breach%,P1-Deviation,P2-EUI Num,P2-Breach%,P2-Deviation,P3-EUI Num,P3-Breach%,P3-Deviation,P4-EUI Num,P4-Breach%,P4-Deviation
B4C - BIM Platform,0,0.00,0.00,1,0.00,1.00,2,0.00,0.47,1,100.00,1.04
B4C - Collaborate,0,0.00,0.00,20,50.00,1.17,23,8.70,0.53,5,0.00,0.39
B4C - Coordinate,1,100.00,113.00,37,48.65,1.00,20,45.00,0.97,10,30.00,0.66
BR - Bidding,0,0.00,0.00,14,14.29,0.67,13,15.38,0.47,24,8.33,0.10
BR - RiskNet,1,100.00,3.17,39,43.59,1.00,45,37.78,0.87,14,7.14,0.28
CR - Docs Core,7,71.43,3.00,92,66.30,1.67,18,0.00,0.57,59,8.47,0.23
CR - Docs Workflows,3,33.33,0.50,33,36.36,0.67,36,27.78,0.80,20,10.00,0.42
CR - Record Consumption,1,0.00,0.33,45,66.67,2.33,8,25.00,0.70,69,17.39,0.26
CS - Common Services,4,50.00,1.58,72,75.00,2.33,82,56.10,1.50,54,44.44,0.72
CS - Data Delivery,1,100.00,4.67,15,53.33,1.33,36,63.89,1.37,14,21.43,0.57
FC - Field Forms,7,85.71,12.17,99,85.86,3.00,2,0.00,0.00,32,31.25,0.54
FC - Field Progress,1,0.00,0.67,29,75.86,2.67,25,40.00,1.00,28,17.86,0.50
FR - Admin,9,66.67,3.83,103,67.96,2.33,33,45.45,0.80,5,80.00,3.96
FR - Frameworks,18,61.11,3.33,47,59.57,1.33,26,46.15,0.90,3,0.00,0.47
FR - Product Experience,0,0.00,0.00,2,100.00,2.17,2,100.00,2.83,0.00,0.00,0.00
FW - Forms & Issues,0,0.00,0.00,2,100.00,29.33,12,33.33,0.73,9,55.56,1.16
FW - Progress,0,0.00,0.00,16,50.00,1.17,14,21.43,0.83,11,45.45,0.79
FW - Standards,10,90.00,1384.67,7,14.29,1.00,22,13.64,0.47,2,0.00,0.41
LM - Project Lifecycle,1,100.00,2.33,6,50.00,1.17,68,22.06,0.53,4,0.00,0.00
NX - Admin,2,100.00,126.25,89,78.65,2.00,28,50.00,1.10,18,61.11,1.47
NX - Frameworks,1,0.00,0.50,4,50.00,1.17,3,33.33,0.53,2,50.00,0.64
NX - Product Experience,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,2,0.00,0.21
PC - Financials,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,5,20.00,0.35
PC - Project Management,5,60.00,2.17,38,68.42,1.33,3,66.67,1.40,23,8.70,0.44
PY - Closeout,1,100.00,3.17,4,75.00,1.83,2,50.00,1.37,3,0.00,0.18
PY - Precon & Construction,0,0.00,0.00,3,66.67,7.33,10,50.00,0.93,1,0.00,0.32
SI - Ecosystem,0,0.00,0.00,5,60.00,1.33,2,50.00,1.17,1,100.00,3.91
WBP - Classic Products,1,100.00,203.67,71,54.93,1.33,5,20.00,0.53,28,50.00,1.06
WBP - Quantification,0,0.00,0.00,3,66.67,1.33,1,0.00,0.67,1,0.00,0.05
WBP - Work Planning & Model Conditioning,0,0.00,0.00,22,68.18,1.67,8,12.50,0.10,29,24.14,0.72
