ISSUE_KEY,RESOLUTION,PRODUCT,SEVERITY,UPDATED_TIMESTAMP,PLATFORM,RESOLVED_TIMESTAMP,GROUP_NAMES_SEPARATED,CREATED_TIMESTAMP,COE_NAMES_SEPARATED_COPY,EUI_OR_SIB,RESOLUTION_TIME,HOUR_TO_COMPLETION,CASE WHEN HOUR_TO_COMPLETION IS NOT NULL AND HOUR_TO_COMPLETION <= RESOLUTION_TIME THEN TRUE ELSE FALSE END
NGF-425,Fixed,,P2,Jan-21,,Apr-20,FC - Field Forms,Apr-20,Field Collaboration,EUI,72,24,TRUE
NGF-440,Won't Fix,Reporting,P3,Jan-21,iOS,Apr-20,FC - Field Forms,Mar-20,Field Collaboration,EUI,360,624,FALSE
NGF-228,Done,NGF Talentica,P3,Jan-21,Android,Apr-20,FC - Field Forms,Mar-20,Field Collaboration,EUI,360,672,FALSE
NGF-478,Fixed,,P2,Jan-21,Web,Apr-20,FC - Field Forms,Apr-20,Field Collaboration,EUI,72,72,TRUE
NGF-372,Duplicate,NGF Talentica,P2,Jan-21,Backend,Apr-20,FC - Field Forms,Mar-20,Field Collaboration,EUI,72,120,FALSE
NGF-486,Fixed,Checklists,P3,Jan-21,Web,Apr-20,FC - Field Forms,Apr-20,Field Collaboration,EUI,360,24,TRUE
KRAANG-3762,Fixed,,P2,Mar-21,,Apr-20,CR - Docs Core,Apr-20,Construction Records,EUI,72,144,FALSE
SCMP-616,Fixed,,P2,Mar-21,Windows,Apr-20,FR - Frameworks,Apr-20,Frameworks,EUI,72,48,TRUE
SCMP-608,Fixed,,P2,Mar-21,,Apr-20,FR - Frameworks,Apr-20,Frameworks,EUI,72,72,TRUE
SCPJM-3688,Done,,P2,Mar-21,,Apr-20,PC - Project Management,Apr-20,Project Controls,EUI,72,216,FALSE
SCPJM-3677,Done,,P2,Mar-21,,Apr-20,PC - Project Management,Apr-20,Project Controls,EUI,72,144,FALSE
MBIM-11399,Done,,P2,Mar-21,,Apr-20,CR - Record Consumption,Apr-20,Construction Records,EUI,72,192,FALSE
I18N-238,Fixed,,P2,Mar-21,,Apr-20,EI - Ecosystem,Apr-20,Ecosystem & Infrastructure,EUI,72,240,FALSE
SCMP-556,Fixed,,P2,Mar-21,Windows,Apr-20,FR - Frameworks,Apr-20,Frameworks,EUI,72,48,TRUE
MBIM-11384,Done,,P3,Mar-21,Android,Apr-20,CR - Record Consumption,Feb-20,Construction Records,EUI,360,1728,FALSE
ALEX-36785,Fixed,NGF Talentica,P2,Jan-22,,Apr-20,CR - Docs Core,Apr-20,Construction Records,EUI,72,96,FALSE
NGF-367,Fixed,NGF Forms,P2,Jan-21,Backend,May-20,FC - Field Forms,Mar-20,Field Collaboration,EUI,72,1032,FALSE
NGF-573,Fixed,NGF Talentica,P2,Jan-21,Android,May-20,FC - Field Forms,Apr-20,Field Collaboration,EUI,72,456,FALSE
NGF-632,Fixed,,P2,Jan-21,,May-20,FC - Field Forms,May-20,Field Collaboration,EUI,72,48,TRUE
NGF-614,Fixed,NGF Talentica,P2,Jan-21,Web,May-20,FC - Field Forms,May-20,Field Collaboration,EUI,72,72,TRUE
NGF-596,Fixed,NGF Talentica,P2,Jan-21,Web,May-20,FC - Field Forms,May-20,Field Collaboration,EUI,72,216,FALSE
NGF-755,Duplicate,,P2,Jan-21,Android,May-20,FC - Field Forms,May-20,Field Collaboration,EUI,72,144,FALSE
FORMS-5601,Fixed,Forms,P1,Jan-21,Web,May-20,FC - Field Forms,May-20,Field Collaboration,EUI,6,6,TRUE
NGF-362,Fixed,NGF Forms,P2,Jan-21,Backend,May-20,FC - Field Forms,Mar-20,Field Collaboration,EUI,72,648,FALSE
KRAANG-3944,Fixed,,P2,Mar-21,iOS,May-20,CR - Docs Core,May-20,Construction Records,EUI,72,72,TRUE
SCMP-843,Fixed,,P2,Mar-21,iOS,May-20,FR - Frameworks,May-20,Frameworks,EUI,72,24,TRUE
SCMP-838,Fixed,,P3,Mar-21,iOS,May-20,FR - Frameworks,May-20,Frameworks,EUI,360,0,TRUE
PGDOCS-883,Fixed,,P2,Mar-21,Web,May-20,CR - Docs Core,Apr-20,Construction Records,EUI,72,360,FALSE
SCPJM-3956,Done,,P2,Mar-21,Web,May-20,PC - Project Management,Apr-20,Project Controls,EUI,72,360,FALSE
AV2-945,Fixed,,P2,Mar-21,Web,May-20,CR - Record Consumption,May-20,Construction Records,EUI,72,24,TRUE
PJL-2553,Fixed,,P3,Dec-21,,May-20,LM - Project Lifecycle,Apr-20,Lifecycle,EUI,360,1008,FALSE
NGF-756,Done,NGF Talentica,P2,Jan-21,Backend,Jun-20,FC - Field Forms,May-20,Field Collaboration,EUI,72,312,FALSE
NGF-795,More Specific Information,NGF Forms,P2,Jan-21,Backend,Jun-20,FC - Field Forms,May-20,Field Collaboration,EUI,72,528,FALSE
ALEX-37420,Fixed,BIM 360 Docs,P1,Jan-21,,Jun-20,CR - Docs Core,Jun-20,Construction Records,EUI,6,19,FALSE
NGF-330,Fixed,NGF Talentica,P2,Jan-21,Backend,Jun-20,FC - Field Forms,Mar-20,Field Collaboration,EUI,72,1584,FALSE
NGF-601,Fixed,NGF Talentica,P2,Jan-21,iOS,Jun-20,FC - Field Forms,May-20,Field Collaboration,EUI,72,600,FALSE
NGF-597,Fixed,NGF Talentica,P2,Jan-21,Android,Jun-20,FC - Field Forms,Apr-20,Field Collaboration,EUI,72,960,FALSE
NGF-861,Incomplete,NGF Talentica,P2,Jan-21,Backend,Jun-20,FC - Field Forms,Jun-20,Field Collaboration,EUI,72,264,FALSE
FORMS-5661,Fixed,,P2,Jan-21,Android,Jun-20,FC - Field Forms,Jun-20,Field Collaboration,EUI,72,168,FALSE
NGF-138,Fixed,NGF Talentica,P2,Jan-21,Android,Jun-20,FC - Field Forms,Jan-20,Field Collaboration,EUI,72,2448,FALSE
CS-39685,Fixed,BIM 360 Field Classic,P2,Mar-21,,Jun-20,WBP - Classic Products,Jun-20,Work Breakdown & Planning,EUI,72,96,FALSE
SVN-1221,Fixed,,P2,Mar-21,Web,Jun-20,FC - Field Progress,Dec-19,Field Collaboration,EUI,72,3336,FALSE
MBIM-11350,Done,,P2,Mar-21,,Jun-20,CR - Record Consumption,Jan-20,Construction Records,EUI,72,2472,FALSE
KRAANG-4104,Fixed,Docs and Sheets,P3,Mar-21,Web,Jun-20,CR - Docs Core,Jun-20,Construction Records,EUI,360,24,TRUE
PGDOCS-890,Fixed,Docs and Sheets,P3,Mar-21,Web,Jun-20,CR - Docs Core,May-20,Construction Records,EUI,360,576,FALSE
SCPJM-5201,Done,,P1,Mar-21,,Jun-20,PC - Project Management,Jun-20,Project Controls,EUI,6,17,FALSE
SVN-1612,Fixed,Photos,P3,Mar-21,Web,Jun-20,FC - Field Progress,Jun-20,Field Collaboration,EUI,360,24,TRUE
SCMP-962,Fixed,,P2,Mar-21,Android,Jun-20,FR - Frameworks,Jun-20,Frameworks,EUI,72,48,TRUE
