RESOLUTION,PRODUCT,SEVERITY,UPDATED_TIMESTAMP,PLATFORM,RESOLVED_TIMESTAMP,GROUP_NAMES,CREATED_TIMESTAMP,COE_NAMES,EUI_OR_SIB,RESOLUTION_TIME,HOUR_TO_COMPLETION,ON_TIME
Fixed,,P3,35:09.0,,46:40.0,CR - Docs Core,53:20.0,Construction Records,,360,864,FALSE
Fixed,,P3,35:09.0,,46:40.0,CR - Docs Core,53:20.0,Construction Records,,360,864,FALSE
Fixed,,P3,35:09.0,,46:40.0,CR - Docs Core,53:20.0,Construction Records,,360,864,FALSE
Fixed,,P3,35:09.0,,46:40.0,CR - Docs Core,53:20.0,Construction Records,,360,864,FALSE
Fixed,,P3,35:09.0,,46:40.0,CR - Docs Core,53:20.0,Construction Records,,360,864,FALSE
Fixed,,P3,35:09.0,,46:40.0,CR - Docs Core,53:20.0,Construction Records,,360,864,FALSE
Fixed,,P3,35:09.0,,46:40.0,CR - Docs Core,53:20.0,Construction Records,,360,864,FALSE
Fixed,,P3,35:09.0,,46:40.0,CR - Docs Core,53:20.0,Construction Records,,360,864,FALSE
Fixed,,P3,35:09.0,,46:40.0,CR - Docs Core,53:20.0,Construction Records,,360,864,FALSE
Fixed,,P3,35:09.0,,46:40.0,CR - Docs Core,53:20.0,Construction Records,,360,864,FALSE
Fixed,,P3,35:09.0,,46:40.0,CR - Docs Core,53:20.0,Construction Records,,360,864,FALSE
Fixed,,P3,35:09.0,,46:40.0,CR - Docs Core,53:20.0,Construction Records,,360,864,FALSE
Fixed,,P3,35:09.0,,46:40.0,CR - Docs Core,53:20.0,Construction Records,,360,864,FALSE
,,P2,58:17.0,,,FR - Frameworks,56:40.0,Frameworks,,72,,FALSE
,,P2,58:17.0,,,FR - Frameworks,56:40.0,Frameworks,,72,,FALSE
,,P2,58:17.0,,,FR - Frameworks,56:40.0,Frameworks,,72,,FALSE
,,P2,58:17.0,,,FR - Frameworks,56:40.0,Frameworks,,72,,FALSE
,,P2,58:17.0,,,FR - Frameworks,56:40.0,Frameworks,,72,,FALSE
,,P2,58:17.0,,,FR - Frameworks,56:40.0,Frameworks,,72,,FALSE
,,P2,58:17.0,,,FR - Frameworks,56:40.0,Frameworks,,72,,FALSE
Incidentally Fixed,,P2,58:17.0,,02:46.0,FR - Frameworks,02:37.0,Frameworks,,72,24,TRUE
Incidentally Fixed,,P2,58:17.0,,02:46.0,FR - Frameworks,02:37.0,Frameworks,,72,24,TRUE
,,P1,58:16.0,,,FR - Frameworks,44:08.0,Frameworks,,6,,FALSE
,,P1,58:16.0,,,FR - Frameworks,44:08.0,Frameworks,,6,,FALSE
,,P1,58:16.0,,,FR - Frameworks,44:08.0,Frameworks,,6,,FALSE
,,P1,58:16.0,,,FR - Frameworks,44:08.0,Frameworks,,6,,FALSE
,,P1,58:16.0,,,FR - Frameworks,44:08.0,Frameworks,,6,,FALSE
,,P1,58:16.0,,,FR - Frameworks,44:08.0,Frameworks,,6,,FALSE
,,P1,58:16.0,,,FR - Frameworks,44:08.0,Frameworks,,6,,FALSE
,,P1,58:16.0,,,FR - Frameworks,44:08.0,Frameworks,,6,,FALSE
,,P1,58:16.0,,,FR - Frameworks,44:08.0,Frameworks,,6,,FALSE
,,P1,58:16.0,,,FR - Frameworks,44:08.0,Frameworks,,6,,FALSE
,,P1,58:16.0,,,FR - Frameworks,44:08.0,Frameworks,,6,,FALSE
,,P1,58:16.0,,,FR - Frameworks,44:08.0,Frameworks,,6,,FALSE
,,P1,58:16.0,,,FR - Frameworks,44:08.0,Frameworks,,6,,FALSE
,,P1,58:16.0,,,FR - Frameworks,44:08.0,Frameworks,,6,,FALSE
,,P1,58:16.0,,,FR - Frameworks,44:08.0,Frameworks,,6,,FALSE
,,P1,58:16.0,,,FR - Frameworks,44:08.0,Frameworks,,6,,FALSE
Won't Fix,,,35:11.0,,46:30.0,CR - Docs Core,46:22.0,Construction Records,,,0,FALSE
Won't Fix,,,35:11.0,,46:30.0,CR - Docs Core,46:22.0,Construction Records,,,0,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
Fixed,,P2,35:07.0,,38:31.0,CR - Docs Core,04:25.0,Construction Records,,72,768,FALSE
